"",".y.","group1","group2","p","p.adj","p.signif"
"1","Shannon","T1","T2",0.482865577975198,0.62,"ns"
"2","Shannon","T1","T3",0.0915646427078002,0.44,"ns"
"3","Shannon","T1","T4",5.09655541887399e-05,0.00061,"****"
"4","Shannon","T1","T5",9.01944657642531e-07,1.4e-05,"****"
"5","Shannon","T1","T6",8.27641155262655e-08,1.5e-06,"****"
"6","Shannon","T1","T7",1.09565528118863e-12,2.6e-11,"****"
"7","Shannon","T1","T8",3.8527763223046e-17,1e-15,"****"
"8","Shannon","T2","T3",0.287265071131138,0.62,"ns"
"9","Shannon","T2","T4",0.000626272474228624,0.0056,"***"
"10","Shannon","T2","T5",1.53580839381718e-05,0.00022,"****"
"11","Shannon","T2","T6",4.05453299735701e-07,6.5e-06,"****"
"12","Shannon","T2","T7",9.19379571161699e-12,2.1e-10,"****"
"13","Shannon","T2","T8",3.57320196089519e-17,1e-15,"****"
"14","Shannon","T3","T4",0.0181508833044169,0.13,"*"
"15","Shannon","T3","T5",0.000351695607637126,0.0039,"***"
"16","Shannon","T3","T6",1.89735261714985e-05,0.00025,"****"
"17","Shannon","T3","T7",2.94478791439165e-10,6.2e-09,"****"
"18","Shannon","T3","T8",1.66132488158947e-15,4.3e-14,"****"
"19","Shannon","T4","T5",0.0728697585201144,0.44,"ns"
"20","Shannon","T4","T6",0.00400377507681517,0.032,"**"
"21","Shannon","T4","T7",5.90543495086661e-08,1.1e-06,"****"
"22","Shannon","T4","T8",2.42386660004503e-15,6.1e-14,"****"
"23","Shannon","T5","T6",0.205899402138174,0.62,"ns"
"24","Shannon","T5","T7",0.000375127818078511,0.0039,"***"
"25","Shannon","T5","T8",3.61422736607239e-11,8e-10,"****"
"26","Shannon","T6","T7",0.0784021561604621,0.44,"ns"
"27","Shannon","T6","T8",7.3598944432533e-09,1.5e-07,"****"
"28","Shannon","T7","T8",1.92692481599314e-07,3.3e-06,"****"
